"date","sex","age","race","boro","crimsusp","frisked","searched","hit"
2017-07-30,"FEMALE","54","BLACK HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-07-23,"FEMALE","19","WHITE","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-07-23,"MALE","20","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-07-23,"FEMALE","19","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-07-23,"MALE","19","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-07-23,"FEMALE","19","ASIAN/PAC.ISL","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-08-20,"MALE","30","BLACK","MANHATTAN","ASSAULT","Y","N","N"
2017-08-21,"MALE","21","WHITE HISPANIC","MANHATTAN","ASSAULT","N","N","N"
2017-08-22,"MALE","54","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-08-26,"MALE","(null)","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-08-03,"MALE","18","BLACK","MANHATTAN","PETIT LARCENY","Y","N","N"
2017-08-29,"MALE","22","WHITE HISPANIC","MANHATTAN","CRIMINAL POSSESSION OF MARIHUANA","N","N","N"
2017-08-31,"MALE","49","WHITE HISPANIC","MANHATTAN","PETIT LARCENY","N","N","N"
2017-08-30,"MALE","49","BLACK","MANHATTAN","ROBBERY","Y","Y","Y"
2017-09-06,"MALE","31","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-09-15,"MALE","35","BLACK","MANHATTAN","ROBBERY","N","N","N"
2017-09-16,"MALE","20","BLACK HISPANIC","MANHATTAN","CPSP","N","N","Y"
2017-09-18,"MALE","38","WHITE HISPANIC","MANHATTAN","PETIT LARCENY","Y","N","Y"
2017-09-18,"MALE","(null)","BLACK","MANHATTAN","PETIT LARCENY","N","N","N"
2017-09-20,"MALE","27","WHITE","MANHATTAN","PETIT LARCENY","N","Y","Y"
2017-09-20,"MALE","27","WHITE","MANHATTAN","PETIT LARCENY","Y","N","N"
2017-09-30,"MALE","25","WHITE","MANHATTAN","ASSAULT","N","N","Y"
2017-10-03,"MALE","21","WHITE","MANHATTAN","MAKING GRAFFITI","N","N","N"
2017-10-03,"MALE","22","WHITE HISPANIC","MANHATTAN","MAKING GRAFFITI","N","N","N"
2017-10-21,"MALE","58","(null)","MANHATTAN","PETIT LARCENY","N","N","N"
2017-10-29,"MALE","39","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-10-30,"MALE","21","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","N","Y"
2017-10-30,"MALE","20","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","N","N"
2017-10-02,"FEMALE","20","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-11-01,"MALE","39","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-11-05,"MALE","30","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-11-15,"MALE","17","BLACK HISPANIC","MANHATTAN","PETIT LARCENY","N","Y","N"
2017-11-17,"MALE","47","BLACK","MANHATTAN","ASSAULT","Y","N","Y"
2017-11-17,"MALE","19","BLACK","MANHATTAN","CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE","N","Y","Y"
2017-11-20,"MALE","22","WHITE","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-11-28,"MALE","25","BLACK","MANHATTAN","ROBBERY","N","N","N"
2017-11-28,"MALE","37","BLACK HISPANIC","MANHATTAN","ROBBERY","Y","N","N"
2017-12-03,"MALE","57","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-12-04,"FEMALE","44","BLACK HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-12-06,"MALE","58","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","N","Y"
2017-12-06,"MALE","35","WHITE","MANHATTAN","CRIMINAL TRESPASS","Y","N","Y"
2017-12-12,"MALE","26","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-12-10,"MALE","21","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","N","Y"
2017-12-10,"MALE","51","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","N","Y"
2017-12-13,"MALE","39","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-12-29,"MALE","26","BLACK HISPANIC","MANHATTAN","ROBBERY","Y","Y","N"
2017-01-18,"MALE","31","BLACK","MANHATTAN","CRIMINAL SALE OF CONTROLLED SUBSTANCE","Y","N","N"
2017-01-18,"FEMALE","30","BLACK","MANHATTAN","CRIMINAL SALE OF CONTROLLED SUBSTANCE","Y","N","N"
2017-01-12,"MALE","32","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-01-11,"MALE","54","BLACK","MANHATTAN","CPW","Y","Y","Y"
2017-02-25,"MALE","29","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-02-28,"MALE","24","BLACK","MANHATTAN","GRAND LARCENY","N","N","N"
2017-03-18,"MALE","30","WHITE","MANHATTAN","ASSAULT","Y","N","N"
2017-03-27,"MALE","40","BLACK","MANHATTAN","PETIT LARCENY","N","N","N"
2017-04-08,"MALE","38","BLACK","MANHATTAN","GRAND LARCENY","N","N","N"
2017-04-11,"MALE","28","WHITE","MANHATTAN","BURGLARY","N","N","N"
2017-04-14,"MALE","33","WHITE","MANHATTAN","BURGLARY","Y","N","N"
2017-04-15,"MALE","27","BLACK","MANHATTAN","ASSAULT","N","N","Y"
2017-04-28,"MALE","21","BLACK","MANHATTAN","CPW","Y","N","N"
2017-04-28,"MALE","19","BLACK","MANHATTAN","CPW","Y","N","N"
2017-04-06,"MALE","41","BLACK","MANHATTAN","PETIT LARCENY","Y","Y","Y"
2017-04-11,"MALE","25","WHITE HISPANIC","MANHATTAN","ASSAULT","N","N","N"
2017-04-23,"MALE","33","BLACK","MANHATTAN","CPW","Y","N","N"
2017-05-06,"MALE","25","BLACK","MANHATTAN","ROBBERY","Y","N","Y"
2017-04-29,"MALE","44","WHITE","MANHATTAN","PETIT LARCENY","N","N","N"
2017-05-12,"MALE","22","WHITE HISPANIC","MANHATTAN","ASSAULT","N","N","N"
2017-05-21,"MALE","50","BLACK","MANHATTAN","OTHER","N","N","N"
2017-05-26,"FEMALE","32","WHITE HISPANIC","MANHATTAN","PETIT LARCENY","N","Y","Y"
2017-06-20,"MALE","44","BLACK","MANHATTAN","PETIT LARCENY","N","N","Y"
2017-06-24,"MALE","18","BLACK","MANHATTAN","ROBBERY","N","Y","Y"
2017-08-02,"MALE","51","BLACK","MANHATTAN","ROBBERY","Y","Y","Y"
2017-08-01,"MALE","21","BLACK","MANHATTAN","OTHER","N","N","N"
2017-08-09,"MALE","41","WHITE","MANHATTAN","OTHER","N","N","N"
2017-08-10,"FEMALE","22","BLACK","MANHATTAN","GRAND LARCENY","N","N","Y"
2017-08-18,"MALE","43","WHITE","MANHATTAN","PETIT LARCENY","N","N","N"
2017-08-19,"MALE","51","BLACK","MANHATTAN","GRAND LARCENY","N","Y","Y"
2017-08-19,"MALE","23","WHITE","MANHATTAN","ASSAULT","N","N","Y"
2017-09-05,"MALE","37","WHITE","MANHATTAN","CRIMINAL MISCHIEF","N","Y","Y"
2017-09-05,"MALE","50","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-09-07,"FEMALE","19","BLACK","MANHATTAN","PETIT LARCENY","Y","N","N"
2017-09-14,"MALE","49","BLACK","MANHATTAN","ASSAULT","Y","Y","Y"
2017-09-28,"MALE","40","BLACK","MANHATTAN","OTHER","N","N","N"
2017-10-02,"MALE","22","BLACK","MANHATTAN","OTHER","N","N","N"
2017-08-16,"MALE","48","BLACK","MANHATTAN","PETIT LARCENY","N","Y","Y"
2017-10-13,"MALE","26","BLACK","MANHATTAN","BURGLARY","N","N","N"
2017-08-02,"MALE","32","BLACK","MANHATTAN","ROBBERY","N","N","N"
2017-10-18,"MALE","33","BLACK HISPANIC","MANHATTAN","BURGLARY","Y","N","Y"
2017-10-22,"MALE","23","BLACK","MANHATTAN","RAPE","N","N","N"
2017-10-22,"MALE","23","BLACK","MANHATTAN","RAPE","N","N","N"
2017-10-22,"MALE","22","BLACK","MANHATTAN","RAPE","Y","N","N"
2017-10-22,"MALE","24","BLACK","MANHATTAN","RAPE","N","Y","Y"
2017-10-26,"MALE","28","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-11-11,"FEMALE","40","BLACK","MANHATTAN","GRAND LARCENY","N","Y","N"
2017-11-04,"FEMALE","15","BLACK HISPANIC","MANHATTAN","GRAND LARCENY","N","N","N"
2017-11-04,"FEMALE","11","BLACK HISPANIC","MANHATTAN","GRAND LARCENY","N","N","N"
2017-11-04,"FEMALE","15","BLACK","MANHATTAN","GRAND LARCENY","N","N","N"
2017-11-23,"MALE","47","WHITE","MANHATTAN","MENACING","Y","Y","Y"
2017-11-30,"MALE","(null)","BLACK","MANHATTAN","PETIT LARCENY","N","N","N"
2017-12-20,"MALE","52","BLACK","MANHATTAN","GRAND LARCENY","Y","Y","Y"
2017-01-03,"MALE","26","BLACK","MANHATTAN","ASSAULT","Y","N","Y"
2017-01-14,"FEMALE","43","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","N","Y"
2017-01-19,"MALE","35","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-01-20,"MALE","21","WHITE HISPANIC","MANHATTAN","ROBBERY","Y","Y","Y"
